State,Temp
Alaska,1.5
Alabama,50.9
Arkansas,44.4
Arizona,46.1
California,49.1
Colorado,26.3
Connecticut,34.3
DC, 35.8
Delaware,42.1
Florida,63.7
Georgia,51.9
Hawaii,74
Iowa,25
Idaho,26.4
Illinois,32.1
Indiana,32.8
Kansas,34.8
Kentucky,39.5
Louisiana,54.3
Maine,20.1
Maryland,41
Massachusetts,32.7
Michigan,23.6
Minnesota,14.4
Missouri,35.4
Mississippi,51
Montana,25.5
North Carolina,47.2
North Dakota,17.6
Nebraska,29.4
New Hampshire,24.3
New Jersey,39.2
New Mexico,38.3
Nevada,36.1
New York,26.8
Ohio,33.1
Oklahoma,41.7
Oregon,35.8
Pennsylvania,33.3
Rhode Island,35.7
South Carolina,51.1
South Dakota,23.5
Tennessee,43.2
Texas,49.4
Utah,30.8
Virginia,42.6
Vermont,22.4
Washington,35.5
Wisconsin,19.2
West Virginia,38.2
Wyoming,20.3
Puerto Rico,74.1
American Samoa,82.3
Guam,84.2
MP,78.8
Virgin ,77.4
